id,position_name,company_name,salary,work_city,work_exp,education,company_size,company_type,industry,position_url,job_summary,welfare,salary_count
16,后端开发工程师,美通社,1.3万-2.5万,北京,经验不限,本科,100-299人,外商独资,互联网,http://www.zhaopin.com/jobdetail/CC181872020J40661166316.htm,工作职责：1、设计和实现高效稳定的爬虫程序，收集海量数据并进行处理和分析。2、负责多平台信息抽取、数据清洗、入库、服务化等研发和优化工作。3、解决实际开发过程中碰到的各类数据需求和接口问题。4、参与业务需求讨论，负责业务需求到技术实现的方案落地与实施。5、监控爬虫运行状态，日常处理数据抓取的稳定性和准确性问题。任职要求1、负责设计、开发和维护高效、稳定的爬虫系统，提升数据采集的效率和质量。2、负责...,,
17,后端开发工程师,上海微创软件股份有限公司,1.4万-1.7万,北京,3-5年,本科,10000人以上,合资,IT服务,http://www.zhaopin.com/jobdetail/CC000638920J40706613214.htm,职位描述： 1、负责国际支付用户信息系统的架构设计、建设和优化，保证工程质量和扩展性。2、负责解决用户信息数据准确、冲突问题，确保用户信息数据正确性。3、参与设计和建设用户信息管理平台，统一国际支付对于用户信息的管理和使用。职位要求： 1、本科（学信网）以上学历，计算机/通信 相关专业2、3年以上互联网工作经验。3、熟悉Golang/Python 至少一种语言，有良好的数据结构和算法基础。4、有优...,,
18,Java开发 -会python-北京,黑龙江海康软件工程有限公司,1.2万-1.6万,北京,3-5年,本科,500-999人,股份制企业,计算机软件,http://www.zhaopin.com/jobdetail/CC139612110J40666513812.htm,1.对JAVA体系架构熟悉；熟练掌握Springboot+MyBatis+MySQL相关开发技术，对于Redis、RabbitMQ等组件熟练使用；2.对于系统安全较为熟悉，开发时能够注意到常见的越权、泄露、网络安全问题，具有较高的安全意识;3.熟悉Docker容器化技术，掌握云部署、集群部署、分布式系统相关知识；4.至少有发经验三年JAVA正式开发经验，有过技术管理经验以及Python开发经验优先...,,
19,python爬虫工程师,深圳市法本信息技术股份有限公司,1.8万-2.5万,北京,3-5年,本科,1000-9999人,上市公司,计算机软件,http://www.zhaopin.com/jobdetail/CC385622410J40497573706.htm,岗位职责：1、负责OTA5.0版本RAG理想同学智能搜索项目，文生图（AIGC项目）相关网站、app数据集的抓取、清洗、存储工作，满足智能空间业务需求，并形成数据资产。2、包括（不限于）知乎，新浪，头条，网易，腾讯新闻，凤凰网、一点资讯等。任职资格：1. 熟练使用Python编程语言，熟练使用Scrapy爬虫框架。2. 熟练使用SQL数据库，掌握事务、索引等数据库基本原理。3. 掌握计算机网络基本...,,
20,UE客户端开发工程师（UI方向）,北京华心维联网络科技有限公司,1.9万-3.5万,北京,3-5年,本科,500-999人,民营,互联网,http://www.zhaopin.com/jobdetail/CCL1257005770J40579369413.htm,岗位职责： 1. 使用UE引擎完成UI界面的拼接工作，同时对项目组相关资源进行管理。 3. 与美术部门对接，协调及配合UI/UE视觉展现形式，统一整个游戏的UI风格与交互逻辑； 4. 能够与美术、程序以及策划有良好的沟通，在UE引擎中拼接时准确的表达策划的意图； 5. 负责配合完成美术界面、动效交互设计方案，包括系统界面、剧情表现、库存界面等； 6. 负责跟进、优化和迭代游戏里UI效果的实现及游戏...,,
21,unity开发,上海塔人网络科技股份有限公司,2万-3万,上海,1-3年,学历不限,100-299人,股份制企业,游戏,http://www.zhaopin.com/jobdetail/CC220394920J40034977710.htm,三年以上Unity3D游戏开发经验； 有完整Unity3D项目经历； 熟悉C#及一些常用脚本语言； 有良好的面向对象分析、设计和编码能力，具备良好编码风格； 良好的沟通能力和团队协作能力，善于独立解决问题的能力； 责任心强，认真负责以及能承受工作压力； 熟悉shader、图形学相关知识者优先； 喜爱游戏，了解游戏者优先。,,
22,Unity 3D工程师,上海乐敦电子科技有限公司,7千-1.4万,上海,3-5年,本科,20-99人,民营,计算机硬件,http://www.zhaopin.com/jobdetail/CC481353620J40110404609.htm,岗位职责： 1. 对Unity3D项目的客户端开发负责； 2. 主导各Unity3D项目的性能优化，技术攻关等工作； 3. 负责客户端工作流程的优化，提高开发效率； 任职要求： 1. 计算机相关专业； 2. 3年以上U3D使用经验，并有U3D成功上线运营项目核心开发经验； 3. 主导至少一款成功上线项目； 4. 熟练掌握c#，并具备实际开发经验； 5. 在图形处理、渲染、动画、特效、物理碰撞等方面...,"周末双休,包吃,加班补助,体检福利,定期团建",
23,【base济南】unity开发工程师,北京冲云破雾科技有限公司,1.8万-3万,上海,5-10年,本科,100-299人,民营,互联网,http://www.zhaopin.com/jobdetail/CCL1289054780J40644572814.htm,一、岗位职责- 设计和规划游戏的技术架构，确保系统的稳定性和可扩展性，选择合适的技术和工具来实现游戏设计目标；- 编写高质量的代码，设立代码和技术标准，实施代码审查，保证代码质量，实现游戏的核心功能；- 管理程序员团队，参与项目规划，制定开发时间表，监控项目进度；- 对游戏进行性能分析和优化，确保游戏在各种硬件上运行流畅；- 负责游戏测试，包括单元测试、集成测试和性能测试，以及修复发现的bug；-...,"年终奖,六险一金,补充医疗保险,法定节假日,带薪假期,定期团建",14薪
24,Unity工程师,慧博云通科技股份有限公司,1.4万-1.8万,上海,1-3年,大专,1000-9999人,上市公司,IT服务,http://www.zhaopin.com/jobdetail/CCL1254757260J40726532005.htm,【岗位职责】主要负责业务功能开发；负责项目开发过程中相关工具的开发；负责开发文档的编写和整理【岗位要求】Unity3D两年以上开发经验，熟悉Unity3D引擎架构设计；精通C#编程语言，熟悉Lua与Unity交互，熟练使用常用设计模式；熟悉UGUI/Fgui 开发。,,
25,unity开发工程师,人卫嘉奕(上海)医学科技有限公司,1.1万-1.7万,上海,3-5年,学历不限,20-99人,民营,医疗设备/器械,http://www.zhaopin.com/jobdetail/CC703482320J40696871010.htm,岗位内容：按照场景概念设计，进行地图编辑地形、建筑物件、山体植被、环境设置; -能够负责关卡中所需物件的制作，包含山体、植被、建筑、道具等资源; -根据设定图进行物件的拆分与规划，并进行文档的规范整理; -根据场景实际效果、美术效果、性能不断地进行调整优化达到最优; -协助TA/图形侧程序完善在unity中场景相关的各种材质以及提升材质表现效果; -制定场景模型的制作文档和范例，条理清晰流程明确;...,,
26,unity开发工程师,金东唐,1万-1.5万,上海,1-3年,本科,300-499人,上市公司,电子/半导体/集成电路,http://www.zhaopin.com/jobdetail/CC280758210J40552802906.htm,1、基于Unity3D三维引擎进行数字孪生系统关键模块开发，Unity跨平台适配；2、编写数字孪生相关功能开发说明文档；3、熟练使用3D Max软件，任职资格：1、本科及以上学历，计算机、信息、自动化等专业优先；2、精通Unity3D引擎开发技术及流程；3、参与过数字孪生项目开发，具有工业数字孪生项目或大型游戏开发经验优先；4、熟悉Unity引擎的渲染、物理、动画和UI系统。5、掌握C#语言开发，...,,
27,U3D游戏开发,小西科技(南京)有限责任公司,1.5万-2.6万,上海,3-5年,本科,300-499人,民营,互联网,http://www.zhaopin.com/jobdetail/CCL1243857490J40690539001.htm,岗位职责：1. 使用Unity3D开发游戏前端业务，编写高质量代码；2. 配合策划和美术，快速理解产品需求，完成模块设计，编写相关功能代码；3. 负责游戏性能和体验的调优工作；负责产品兼容性适配工作；4. 维护版本升级，能够根据修改方案快速实现版本更新。任职资格：1. 全日制本科以上学历，计算机等相关专业；2. 5年以上游戏开发经验，熟练使用Unity3D游戏引擎；3. 熟悉C#编程，具有良好的面...,,14薪
28,U3D工程师,中富通,1.8万-3万,上海,5-10年,大专,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC231729210J40594178701.htm,岗位职责：1、熟悉面向对象设计，设计模式。具有良好的编码习惯，严谨的编码风格；2、熟练使用C#语言和Lua语言；3、熟悉Unity3D引擎基本架构。熟悉Unity3D渲染，物理，资源管理等模块，对Unity3D的组件系统有着深入的理解，熟练使用UGUI，熟悉Unity3D项目制作流有以下经验者优先考虑：1、具有iOS和Android平台开发，调试，发布及性能优化经验，熟悉相关插件开发和使用。2、具...,,
29,Unity3D开发工程师,苏州橘杏科技有限公司,9千-1.8万,上海,1-3年,本科,20-99人,民营,计算机软件,http://www.zhaopin.com/jobdetail/CC863601350J40485970201.htm,岗位描述：1、负责Unity3D产品相关功能的开发与技术探索，通过制定具体、可行的技术方案实现产品模块功能；2、掌握Unity3D相关声音、渲染、灯光、骨骼、特效、动画、物理、场景管理，可独立编写重要功能模块；3、了解三维模型，对接美术资源（3D建模），实现相关功能的编码、测试与发布，编制相关的技术文档；4、按照产品要求配合美术实现相关动作和动画表现，以达到项目最佳的实现效果；5、根据项目具体要求...,,
30,Unity3d开发工程师(J10552),中航机载系统有限公司,3万-5万,上海,5-10年,硕士,10000人以上,国企,船舶/航空/航天/火车制造,http://www.zhaopin.com/jobdetail/CCL1242833040J40671749801.htm,"岗位职责:1、根据项目要求，设计多媒体交互模型和用户界面原型,动效, 并适配至可视化大屏、Web应用、移动应用等。2、使用Unity引擎完成交互项目开发，AR/MR增强现实产品的开发工作。3、负责项目的前端程序架构设计，产品性能优化。任职要求:1.学历：硕士研究生及以上2.专业：计算机相关专业，或有虚拟现实技术、数字媒体技术、动画或相关专业背景；2、熟悉Unity 3D引擎。有Unity WebG...",,
31,u3d开发,广州秀才信息科技有限公司,2.5万-5万,上海,3-5年,本科,20-99人,民营,游戏,http://www.zhaopin.com/jobdetail/CC644623880J40768322515.htm,职位描述1、 与策划、美术沟通，负责游戏产品业务开发，包括游戏系统、玩法等模块的设计与开发；2、 负责客户端框架搭建和优化，并持续优化游戏体验以及客户端运行性能；3、 解决项目中遇到的技术难题，保证项目顺利推进。职位要求1、本科及以上学历，具备游戏客户端开发经验；2、具备U3D引擎开发经验，并熟练掌握常用数据结构与算法；3、良好的的代码风格和编程习惯；4、良好的逻辑综合分析能力，以及强烈的解决问题...,,15薪
32,软件工程师（U3D),小西科技(南京)有限责任公司,1.5万-2.6万,上海,5-10年,本科,300-499人,民营,互联网,http://www.zhaopin.com/jobdetail/CCL1243857490J40690019001.htm,岗位职责：1. 使用Unity3D开发游戏前端业务，编写高质量代码；2. 配合策划和美术，快速理解产品需求，完成模块设计，编写相关功能代码；3. 负责游戏性能和体验的调优工作；负责产品兼容性适配工作；4. 维护版本升级，能够根据修改方案快速实现版本更新。任职资格：1. 全日制本科以上学历，计算机等相关专业；2. 5年以上游戏开发经验，熟练使用Unity3D游戏引擎；3. 熟悉C#编程，具有良好的面...,,14薪
33,Unity地编,上海柠希信息技术有限公司,1.2万-1.8万,上海,1-3年,大专,20-99人,民营,人工智能,http://www.zhaopin.com/jobdetail/CCL1259712320J40632509316.htm,岗位职责：1、现场取景，根据取景照片或CAD图纸等，通过3DMAX建模软件，完成场景的3D建模工作，熟练掌握设计中的模型、材质、纹理贴图制作工作。2、能独立完成项目所需的室内、室外、人物建模工作及工业相关BIM模型转化及制作。3、能独立完成公司相关Unity、Webgl数字孪生项目场景模型渲染，并进行美术优化。任职要求：1：具备较强的3D建模能力，必须熟练操作3DMAX软件，掌握Unity、AUT...,包住,
34,unity开发工程师,上海梦森霖信息技术中心(个人独资),9千-1.6万,上海,1-3年,本科,20人以下,民营,游戏,http://www.zhaopin.com/jobdetail/CCL1482446740J40704582314.htm,岗位信息：1.年龄要求：22-36岁2.学历要求：本科及以上3.工作时间：做五休二，早九晚六点半4.薪资：9-16k5.2年及以上 6.热爱游戏行业，愿意与小伙伴们一起在初创公司努力 7.每年一次升职加薪机会 8.互相分享经验【不限定岗位】 工作职责：1、负责Unity游戏客户端的功能开发和优化，确保游戏在各平台上的性能和稳定性使用C/C++/C#进行游戏脚本开发，实现游戏逻辑和交互功能。2、与其...,周末双休,
35,资深U3D客户端开发工程师,盛趣信息技术（上海）有限公司,2万-3万,上海,1-3年,本科,1000-9999人,股份制企业,互联网,http://www.zhaopin.com/jobdetail/CC131142500J40152910606.htm,岗位职责1、负责U3D客户端游戏功能研发； 2、负责修复开发版本过程中遇到的Bug； 3、负责优化开发版本过程中遇到的性能问题； 4、主动与同事分享开发技术与经验； 5、跟踪相关游戏最新的需求，能主动跟策划，美术沟通，同时提出自己对游戏需求的理解。 任职资格 1、本科及以上学历，计算机相关专业优先； 2、2年及以上游戏行业经验； 3、参与过至少一款Unity3D商业项目开发； 4、熟练使用C#开发...,住房公积金,
36,u3d 前端开发工程师,上海塔人网络科技股份有限公司,2.5万-3.5万,上海,1-3年,学历不限,100-299人,股份制企业,游戏,http://www.zhaopin.com/jobdetail/CC220394928J90250002000.htm,岗位职责：1. 负责公司Unity 3D游戏引擎的客户端开发；2. 与策划、服务器开发、美术及QA完美合作，完成联调。岗位要求：1. 2年以上手机游戏开发经验，有完整项目经验者优先；2. 2年以上Unity开发经验，精通C#编程，熟悉Android/iOS平台开发3. 熟悉面向对象设计，设计模式，以及游戏客户端架构；4. 作为主力程序员研发过一款及以上中大型项目；5. 有能力独立开发复杂功能模块，...,,
37,高级U3D开发工程师,上海众茂医疗科技有限公司,1.7万-2.5万,上海,5-10年,本科,20-99人,民营,互联网,http://www.zhaopin.com/jobdetail/CC808563770J40619841603.htm,岗位职责：1）负责AR/VR/模型人等项目的客户端核心功能和体验开发。2）负责AR/VR/模型人等相关的用户端工具、编辑器的开发和维护。3）制定公司AR/VR/模型人等应用的技术和体验规范。4）擅长AR、VR/模型人等等应用的连接。任职要求：1. **学历要求**： - 计算机科学、软件工程或相关专业本科及以上学历。 2. **工作经验**： - 至少5年以上使用Unity进行开发的实际经验。 -...,,
38,3D应用软件开发工程师,上海泓燊汽车科技有限公司,8千-1.5万,上海,1-3年,本科,100-299人,民营,专业技术服务,http://www.zhaopin.com/jobdetail/CCL1311149220J40659532513.htm,根据公司L4纯无人驾驶项目战略规划及分解任务，负责3D Launcher/车辆模型/等3D应用软件模块的开发工作；对产品需求分析并提出解决方案，并结合主流方案优化显示要求；负责编写3D软件概要设计和详细文档、程序脚本和单元测试，并联合智驾域开发完成功能联通；负责软件开发计划和质量目标制定，并达成功能开发日程要求；根据当前unity_3D软件的系统和应用架构设计，根据项目推进要求，做迭代优化协；负责...,,
39,U3D技术合伙人,上海演犀科技有限公司,6千-1万,上海,经验不限,大专,20人以下,民营,人工智能,http://www.zhaopin.com/jobdetail/CCL1478983190J40540063007.htm,【技术合伙人】 可技术入股，负责虚拟现实应用技术开发，熟练掌握u3d，能够搭建元宇宙教室，可结合大模型搭建人机对话Agent。该角色不限年龄。希望U3D技术过硬，技术视角广泛。可技术合伙人，也可以是开发岗位，欢迎来撩,,13薪
40,游戏客户端开发工程师,软通动力信息技术(集团)股份有限公司,1.6万-1.7万,上海,3-5年,本科,10000人以上,民营,互联网,http://www.zhaopin.com/jobdetail/CC000544460J40648374116.htm,外包哔哩哔哩岗位职责：1、负责基于游戏日常活动版本的更新内容开发；2、执行客户端开发流程和标准；3、保证客户端稳定性和高效性。任职要求：1、计算机相关专业；2、熟练掌握Unity及C#；3、学习能力强，有吃苦精神。4、自我管理能力强，有良好的时间意识；5、有良好的沟通交流能力及团队合作精神；6、有独立分析和解决问题的能力，一定的调试代码的经验者优先。,,
41,游戏开发工程师,上海源智方文化有限公司,7千-1万,上海,1-3年,大专,20人以下,,游戏,http://www.zhaopin.com/jobdetail/CCL1493033840J40669019309.htm,岗位职责： 使用 Unreal、Unity3D、Godot 或其他引擎开发游戏客户端功能，包括角色控制、UI 交互、动画逻辑等。 搭建并维护基础服务器，协助实现游戏登录、匹配、房间管理等服务器功能。 配合策划和美术，实现各类玩法和交互效果，优化客户端和服务器交互性能。 参与客户端架构设计，确保客户端与服务器数据同步稳定。 进行游戏测试和调优，定位并修复客户端及服务器端 Bug，提升用户体验。职位要...,,
42,AI influener（居家办公）实习生联合创始人-- fitness知识方向,上海套肯人工智能科技有限责任公司,150-250/天,上海,无经验,本科,20人以下,,人工智能,http://www.zhaopin.com/jobdetail/CCL1478181760J40694093405.htm,职位招募：AI influener（居家办公）联合创始人--fitness知识方向根据AI发展趋势，AGI　五年内必然会实现，superintelligence 十年内必然实现。我们公司专注于superintelligenct，目前筹划用agent实现视频的自动编辑。欢迎您成为我们创业团队的核心成员，与我们一同成长，实现财务自由！我们提供： 丰厚的股份激励：加入我们一年后，您将获得价值1000万的...,"股票期权,弹性工作",
43,鸿蒙开发,软通动力信息技术(集团)股份有限公司,1万-2万,上海,3-5年,本科,10000人以上,民营,互联网,http://www.zhaopin.com/jobdetail/CC000544460J40644728416.htm,1、熟悉掌握ArkUI开发框架，熟悉QT开发人员。2、有移动应用产品设计/架构设计/开发经验；3、熟悉业界常用三方跨平台框架（RN、Flutter、Taro、WeeX、类RN、小程序等开发优先）之一；4、学习能力：学习主动性较强，善于学习总结，一探究竟，对鸿蒙开发兴趣浓厚。5、沟通能力：沟通能力较好，表达思路清晰。6、熟悉掌握ArkUI开发框架，熟悉ArkTS/React/Vue/JS开发人员。7...,,
44,U3D游戏开发,上海微创软件股份有限公司,1.4万-2万,上海,3-5年,本科,10000人以上,合资,IT服务,http://www.zhaopin.com/jobdetail/CC000638920J40685276114.htm,职位描述基于unity引|擎和云技术，为unity开发者构建核心的一站式云服务参与示例游戏的设计与开发，按照项目规范编写相应功能文档参与项目前端、unity sDk的开发与测试协助维护相关系统软件，为如何改进现有功能，或新的功能提出建议任职要求计算机科学相关专业，本科及以上学历可以熟练使用unity进行开发，对游戏开发中常用到的Unity功能系统都有所了解扎实的计算机相关知识和技术基础熟练掌握C#...,,
45,AI influener（居家办公）实习生联合创始人-- AI 知识方向,上海套肯人工智能科技有限责任公司,150-250/天,上海,无经验,本科,20人以下,,人工智能,http://www.zhaopin.com/jobdetail/CCL1478181760J40694093205.htm,职位招募：AI influener（居家办公）联合创始人-- AI知识方向根据AI发展趋势，AGI　五年内必然会实现，superintelligence 十年内必然实现。我们公司专注于superintelligenct，目前筹划用agent实现视频的自动编辑。欢迎您成为我们创业团队的核心成员，与我们一同成长，实现财务自由！我们提供： 丰厚的股份激励：加入我们一年后，您将获得价值1000万的公司预期...,"股票期权,弹性工作",
46,u3d,江苏科学梦创展科技有限公司,1.2万-2万,上海,3-5年,大专,300-499人,股份制企业,装饰装修,http://www.zhaopin.com/jobdetail/CC436542880J40547210214.htm,职责描述：1、根据不同主题展馆多媒体互动项目需求，确定互动软件的功能点、方向并开发制作，确保所有功能完整实现；2、负责完成U3D交互内容的程序开发、测试及优化等工作，最终达到预期设计效果，并跟进完成；3、与团队实现交互系统和逻辑功能及界面效果的展示和UI功能实现；4、结合Kinect、红外感应、雷达、摄像头等外设进行交互功能软件开发，熟悉跨平台SDK封装、集成；5、与团队相关成员协同工作，积极参与...,,
