position_name,salary,work_exp,education,work_city,区域,商圈,company_name,company_size,industry,welfare,job_summary
unity开发,13-18K,3-5年,大专,上海,徐汇区,漕河泾,GUOE,100-499人,计算机软件,"['带薪年假', '员工旅游', '交通补助', '通讯补贴', '节日福利', '年终奖', '五险一金', '餐补', '定期体检', '零食下午茶']","['C#', 'Unity3D', 'Lua', 'Unity3D开发经验']"
高级u3d开发工程师（捕鱼/二合）,20-30K,3-5年,本科,上海,,,某大型游戏公司,1000-9999人,游戏,"['团建聚餐', '住房补贴', '交通补助', '员工旅游', '五险一金', '包吃', '生日福利', '节日福利', '带薪年假', '补充医疗保险', '零食下午茶', '年终奖', '定期体检', '工龄奖']","['C#', 'Lua', '3D游戏客户端开发经验', 'Unity3D开发经验', '捕鱼游戏', '二合游戏', '休闲捕鱼']"
游戏UX拼接设计师（unity、u3d）,14-20K,1-3年,学历不限,上海,徐汇区,漕河泾,名匠网络,1000-9999人,游戏,"['绩效奖金', '有无线网', '五险一金', '节日福利', '夜班补助', '节假日加班费', '定期体检', '法定节假日三薪', '团建聚餐', '保底工资', '带薪年假', '工龄奖', '加班补助']","['Unity3D', 'Unity3D开发经验', '3D游戏客户端开发经验']"
资深unity特效设计师,20-28K,1-3年,学历不限,上海,徐汇区,漕河泾,奇源笙网络,20-99人,游戏,"['节日福利', '团建聚餐', '零食下午茶', '带薪年假', '五险一金']",['二次元']
unity客户端开发,25-50K·15薪,3-5年,本科,上海,,,某大型游戏公司,500-999人,游戏,"['节假日加班费', '通讯补贴', '员工旅游', '加班补助', '意外险', '带薪年假', '团建聚餐', '全勤奖', '零食下午茶', '六险一金', '年终奖', '生日福利', '育儿假', '交通补助', '定期体检', '节日福利']","['C/C++', 'Unity3D', '3D游戏客户端开发经验']"
资深u3d开发工程师,25-40K·14薪,5-10年,本科,上海,闵行区,虹桥,游卡,1000-9999人,游戏,"['补充医疗保险', '零食下午茶', '定期体检', '年终奖', '餐补', '带薪年假', '员工旅游', '节日福利', '五险一金']",['Unity3D']
unity游戏开发工程师,9-14K·13薪,经验不限,本科,上海,浦东新区,张江,上海光粒,20-99人,游戏,"['定期体检', '零食下午茶', '年终奖', '员工旅游', '交通补助', '不加班', '节日福利', '带薪年假', '五险一金', '股票期权']","['Unity3D', '3D游戏客户端开发经验', '手游开发经验', 'Unity3D开发经验']"
unity游戏开发工程师,12-24K·13薪,经验不限,本科,上海,闵行区,浦江,心炎网络,20-99人,游戏,['带薪年假'],"['C#', 'C/C++', 'Unity3D', '3D游戏客户端开发经验', '计算机/软件工程相关专业', 'Unity3D开发经验']"
灯光师（游戏）-崩坏IP预研,20-30K·16薪,经验不限,学历不限,上海,徐汇区,漕河泾,米哈游,1000-9999人,游戏,"['年会福利', '定期体检', '零食下午茶', '团建聚餐', '节日福利', '五险一金', '年终奖', '带薪年假', '补充医疗保险']","['灯光师', '游戏场景', 'unity']"
u3d客户端,30-60K·16薪,5-10年,本科,上海,,,某500强上市公司,10000人以上,游戏,"['五险一金', '带薪年假', '员工旅游', '节日福利', '免费班车', '定期体检', '年终奖', '包吃', '餐补', '交通补助', '补充医疗保险', '股票期权']",['Unity3D']
Unity客户端-系统向（明日方舟：终末地）,35-50K·16薪,3-5年,本科,上海,徐汇区,漕河泾,上海鹰角网络,1000-9999人,游戏,"['绩效奖金', '生日福利', '住房补贴', '补充医疗保险', '五险一金']",['Unity3D']
u3d游戏开发工程师,25-35K·14薪,5-10年,本科,上海,,,杭州某中型游戏公司,500-999人,游戏,"['高温补贴', '节假日加班费', '零食下午茶', '补充医疗保险', '意外险', '节日福利', '餐补', '补充公积金', '交通补助', '团建聚餐', '法定节假日三薪', '加班补助', '年终奖', '五险一金', '保底工资', '定期体检', '夜班补助', '住房补贴', '定期体检', '带薪年假']","['Unity3D', '3D游戏客户端开发经验', 'Unity3D开发经验', '手游开发经验']"
Unity 游戏客户端开发,35-65K,5-10年,本科,上海,,,某大型国际游戏公司,1000-9999人,游戏,"['团建聚餐', '年终奖', '带薪年假', '五险一金', '节日福利', '补充医疗保险', '年会福利', '零食下午茶', '定期体检']","['Unity3D', 'C/C++', '3D游戏客户端开发经验', '端游开发经验', 'gameplay', '有联机游戏', '引擎', '性能优化', '工具']"
资深Unity开发工程师 (战斗),30-60K·16薪,经验不限,学历不限,上海,,,某中型游戏公司,100-499人,游戏,"['年终奖', '餐补', '节假日加班费', '零食下午茶', '定期体检', '全勤奖', '五险一金']",['3D游戏客户端开发经验']
unity特效,15-25K,3-5年,学历不限,上海,宝山区,共康,泓屹嘉成,500-999人,人工智能,"['定期体检', '五险一金']",['Unity 3D']
资深游戏客户端开发,25-50K·16薪,5-10年,本科,上海,,,某知名游戏公司,1000-9999人,游戏,"['节假日加班费', '生日福利', '年终奖', '免费班车', '团建聚餐', '五险一金', '交通补助', '节日福利', '带薪年假', '补充医疗保险', '定期体检']","['Unity3D', '3D游戏客户端开发经验', 'Unity3D开发经验', '端游开发经验']"
客户端开发实习生-Unity,250-300元/天,,本科,上海,徐汇区,漕河泾,莉莉丝游戏,1000-9999人,游戏,"['交通补助', '生日福利', '年终奖', '免费班车', '补充医疗保险', '节日福利', '团建聚餐', '带薪年假', '定期体检', '节假日加班费', '五险一金']","['C#', 'C++', 'Lua']"
Unity游戏客户端开发（多方向可选）,50-80K·14薪,5-10年,本科,上海,,,上海某大型游戏公司,1000-9999人,游戏,"['五险一金', '补充医疗保险', '团建聚餐', '节日福利', '零食下午茶', '定期体检', '年终奖', '年会福利', '带薪年假']","['Unity3D', 'C/C++', 'C#', '3D游戏客户端开发经验', 'Unity3D开发经验', '手游开发经验', '端游开发经验']"
游戏TA（美术）,17-30K,3-5年,大专,上海,闵行区,虹桥,派云科技,500-999人,人力资源服务,"['零食下午茶', '加班补助', '带薪年假', '免费班车', '节日福利', '五险一金', '员工旅游', '包吃']","['UE', 'unity', 'Houdini', 'PCG']"
unity开发工程师（游族）,15-16K·13薪,3-5年,本科,上海,徐汇区,漕河泾,橙色魔方,500-999人,互联网,"['五险一金', '补充医疗保险', '带薪年假', '加班补助', '节日福利', '定期体检', '员工旅游', '年终奖', '零食下午茶']","['C#', 'Unity3D', '3D游戏客户端开发经验', '手游开发经验', '熟练掌握C#', 'Unity3D开发经验', '端游开发经验']"
游戏地编（UE4/unity引擎）,11-22K,3-5年,学历不限,上海,闵行区,虹桥,图游游戏,20-99人,游戏,"['餐补', '免费班车', '节日福利', '五险一金', '加班补助', '全勤奖', '年终奖', '带薪年假', '定期体检', '员工旅游']","['模型制作', '欧美写实', 'MOBA游戏', 'RPG游戏', '场景编辑', '欧美现代', '日韩二次元']"
Unity游戏开发工程师,25-50K·18薪,经验不限,学历不限,上海,,,某大型互联网平台公司,10000人以上,互联网,"['带薪年假', '五险一金', '补充医疗保险', '免费班车', '包吃', '免费早晚餐', '定期体检', '节日福利', '免费健身房', '餐补', '股票期权', '年终奖', '零食下午茶', '住房补贴', '员工旅游', '交通补助', '公仔周边活动']","['C#', 'Visual Stu', 'C++', '游戏引擎']"
u3d高级开发,22-35K,5-10年,本科,上海,徐汇区,漕河泾,游族网络,1000-9999人,游戏,"['带薪年假', '节日福利', '补充医疗保险', '定期体检', '员工旅游', '餐补', '五险一金', '年终奖', '零食下午茶', '全勤奖']","['Unity3D', 'C/C++', 'Lua', 'C#', '3D游戏客户端开发经验', 'Unity3D开发经验', '计算机/软件工程相关专业']"
体育游戏-U3D客户端开发,28-45K·15薪,5-10年,本科,上海,徐汇区,漕河泾,腾讯,10000人以上,互联网,"['零食下午茶', '免费健身房', '餐补', '免费早晚餐', '补充医疗保险', '带薪年假', '员工旅游', '交通补助', '免费班车', '五险一金', '股票期权', '定期体检', '住房补贴', '包吃', '公仔周边活动', '年终奖', '节日福利']","['Unity3D', 'C#', 'C/C++', 'Unity3D开发经验', '3D游戏客户端开发经验', '计算机/软件工程相关专业', '手游开发经验', '体育游戏', '竞技游戏']"
资深Unity游戏客户端（背包乱斗like在研）,25-50K·15薪,3-5年,本科,上海,徐汇区,漕河泾,Garena,1000-9999人,游戏,"['带薪年假', '餐补', '补充医疗保险', '年终奖', '零食下午茶', '定期体检', '股票期权', '五险一金']","['Unity3D', 'C/C++', 'C#', '3D游戏客户端开发经验', 'Unity3D开发经验', '手游开发经验', '背包乱斗', '自走棋', '肉鸽']"
智能座舱3D引擎软件研发工程师,30-60K,10年以上,本科,上海,,,某大型汽车研发/制造公司,10000人以上,汽车研发/制造,"['五险一金', '补充医疗保险', '住房补贴', '免费班车', '年终奖', '带薪年假', '餐补', '定期体检', '节日福利']",['Unity3D']
u3d主程序,40-55K·13薪,5-10年,本科,上海,浦东新区,上南,蜂宝宝,20-99人,互联网,"['五险一金', '年终奖', '带薪年假', '节日福利', '生日福利', '定期体检', '绩效奖金']","['Unity3D', 'Lua', 'C#', '3D游戏客户端开发经验', 'Unity3D开发经验', '手游开发经验']"
引擎负责人（u3d、UE）,80-110K·16薪,10年以上,本科,上海,,,上海某中型二次元即时海战游戏公司,100-499人,游戏,"['节假日加班费', '全勤奖', '定期体检', '五险一金', '年终奖', '餐补', '零食下午茶']",['Unity3D']
资深/专家场景模型（接口人、Base上海）,30-60K·16薪,5-10年,大专,上海,,,某大型游戏公司,1000-9999人,游戏,"['住房补贴', '生日福利', '绩效奖金', '五险一金', '补充医疗保险']","['有3D设计经验/技能', '甲方公司', '不接受居家办公', 'Zbrush', 'Substance', '3-5年3D设计师经验', '5年以上3D设计师经验', '游戏设计', 'PBR', 'Unity', 'Shader', '山石、树木雕刻']"
资深客户端开发工程师,30-50K·16薪,5-10年,本科,上海,杨浦区,五角场,叠纸游戏,1000-9999人,游戏,"['五险一金', '生日福利', '节日福利', '员工旅游', '团建聚餐', '带薪年假', '年终奖', '补充医疗保险', '零食下午茶', '餐补', '定期体检']","['Unity3D', 'Unity3D开发经验']"
游戏unity特效,13-20K,1-3年,大专,上海,闵行区,虹桥,北京七凌科技有限公司,100-499人,移动互联网,"['带薪年假', '五险一金', '节日福利']","['Unity 3D', '游戏']"
Unity客户端开发工程师（系统）,60-90K·16薪,1-3年,本科,上海,,,某大型互联网上市集团公司,1000-9999人,互联网,"['加班补助', '年终奖', '零食下午茶', '五险一金', '带薪年假', '免费班车', '节日福利', '定期体检']","['C#', '计算机相关专业', 'C#开发经验', '中大型项目开发经验']"
unity特效,15-28K,3-5年,学历不限,上海,宝山区,共康,北京木叶村数字科技,100-499人,广告/公关/会展,"['交通补助', '绩效奖金', '零食下午茶', '餐补', '底薪加提成', '团建聚餐', '保底工资', '年终奖', '五险一金']","['魔幻', 'Unity 3D', 'unity特效']"
急招unity地编！！！,15-20K,3-5年,学历不限,上海,徐汇区,漕河泾,纬创软件,1000-9999人,计算机软件,"['零食下午茶', '定期体检', '节日福利', '五险一金', '补充医疗保险', '团建聚餐', '带薪年假', '员工旅游']","['Unity', '场景编辑']"
unity游戏场景编辑,10-11K,1-3年,本科,上海,松江区,九亭,星界游戏,0-20人,游戏,[],"['3ds MAX', '模型制作', 'PS', 'Unity', '场景编辑', '关系场景', 'Quixel Suite', '动作冒险', '渲染场景', '动作场景', '写实', '第三人称']"
高级Unity开发工程师,28-45K,5-10年,本科,上海,,,某互联网公司,20-99人,互联网,[],"['Unity3D', 'Unity3D开发经验']"
高级unity开发工程师,20-25K,3-5年,本科,上海,闵行区,莘庄,莲偶科技,20-99人,智能硬件,"['带薪年假', '五险一金', '节假日加班费', '法定节假日三薪', '加班补助']","['C#', 'C/C++', 'Unity3D', 'Shader开发经验', 'OpenGL', 'VR/AR开发经验', 'Unity3D开发经验']"
游戏unity地编（中级及以上）,15-25K,1-3年,学历不限,上海,浦东新区,张江,恒如网络,20-99人,游戏,"['有无线网', '五险一金', '保底工资', '零食下午茶', '员工旅游', '节日福利', '加班补助']","['场景编辑', '模型制作', 'Q版', '日韩', 'Unity', 'Maya', '3ds MAX', 'ZBrush']"
游戏ui动效,15-20K,3-5年,学历不限,上海,杨浦区,五角场,深圳市冰封科技,20-99人,游戏,"['带薪年假', '团建聚餐', '零食下午茶', '员工旅游', '夜班补助', '生日福利', '五险一金', '定期体检', '节假日加班费']","['Q版', 'unity']"
UNITY Timeling/UE Sequence动画,7-12K,1-3年,学历不限,上海,宝山区,大华,燥波,20-99人,游戏,"['节日福利', '团建聚餐', '带薪年假', '绩效奖金', '零食下午茶', '年终奖']","['1-3年动画设计经验', 'UE4', 'Unity3D', '3D MAX', '3D动画', '游戏']"
高级Unity开发工程师（车载HMI方向）,25-45K,5-10年,本科,上海,浦东新区,张江,上海彼格镁隆技术,100-499人,半导体/芯片,"['团建聚餐', '意外险', '生日福利', '带薪年假', '五险一金', '定期体检', '保底工资', '年终奖', '补充医疗保险', '节日福利', '股票期权', '员工旅游']","['Unity3D', 'Lua', 'Java', 'Unity3D开发经验', '计算机/软件工程相关专业', 'Shader开发经验']"
unity特效师,15-30K,3-5年,大专,上海,松江区,九亭,上海动效喵,20-99人,游戏,"['五险一金', '绩效奖金', '零食下午茶', '节日福利', '团建聚餐', '保底工资', '加班补助', '带薪年假']","['Unity 3D', '仙侠风', 'U3D', '半写实', '写实']"
Unity界面动效,10-15K,经验不限,学历不限,上海,普陀区,梅川路,砚同,20-99人,游戏,"['股票期权', '年终奖', '底薪加提成', '团建聚餐', '加班补助', '节假日加班费', '绩效奖金', '五险一金', '带薪年假', '员工旅游', '保底工资']","['休闲益智', 'AE', 'Spine']"
游戏客户端开发工程师,13-26K·14薪,在校/应届,本科,上海,长宁区,仙霞,友塔游戏,1000-9999人,游戏,"['房补', '交通补助', '大佬零距离', '丰富趣味活动', '节日福利', '年终奖', '带薪年假', '餐补', '私人定制导师', '超大晋升空间', '定期体检', '五险一金', '零食下午茶']","['前端开发', 'unity', '游戏引擎', 'lua', 'unreal']"
u3d 前端开发工程师,30-50K,3-5年,大专,上海,浦东新区,塘桥,塔人网络,100-499人,游戏,"['节日福利', '年终奖', '零食下午茶', '员工旅游', '五险一金', '带薪年假']","['Unity3D', '游戏开发']"
游戏ui拼接（unity/ue/cocos引擎）,11-18K,1-3年,学历不限,上海,徐汇区,漕河泾,新木网络,100-499人,游戏,"['交通补助', '带薪年假', '五险一金', '员工旅游']","['ui拼接', 'ui重构', '仅限游戏行业非程序岗']"
VR大空间开发工程师(Unity方向),20-25K,3-5年,本科,上海,宝山区,上海大学,博思,100-499人,游戏,"['年终奖', '员工旅游', '五险一金', '生日福利', '节日福利', '带薪年假', '加班补助', '零食下午茶', '定期体检', '绩效奖金', '团建聚餐']","['3ds Max', 'Unity3D', '空间音频', 'Shader']"
unity,30-50K·16薪,3-5年,本科,上海,,,某中型跨城市互联网游戏公司,100-499人,互联网,"['定期体检', '生日福利', '带薪年假', '团建聚餐', '补充医疗保险', '有无线网', '员工旅游', '年终奖', '零食下午茶', '五险一金', '包吃', '节日福利']","['Unity3D', '3D游戏客户端开发经验', 'Unity3D开发经验', '手游开发经验']"
过场动画/流程快/timeline,18-20K,1-3年,学历不限,上海,徐汇区,漕河泾,辽宁鼎如兴科技,0-20人,互联网,[],"['unity', '剧情策划', 'timeline', '游戏', '过场动画']"
u3d客户端开发,30-55K·16薪,5-10年,本科,上海,,,上海某中型游戏公司,100-499人,游戏,[],"['Unity3D', '手游开发经验', '3D游戏客户端开发经验', '计算机/软件工程相关专业', '战斗开发', '3C', '管线']"
Unity技术美术（TA）,14-20K,1-3年,本科,上海,浦东新区,金杨,随幻科技,20-99人,互联网,"['有无线网', '法定节假日三薪', '五险一金', '零食下午茶', '年终奖', '生日福利', '补充医疗保险', '加班补助', '节日福利', '带薪年假', '员工旅游', '定期体检', '节假日加班费', '全勤奖', '通讯补贴', '餐补', '股票期权', '团建聚餐', '意外险', '交通补助']","['GPU架构', '光照模型', '渲染管线', 'Unity', 'ShaderLab', 'Shader', 'HLSL', 'OpenGL']"
二次元游戏内录剪辑(Unity),8-11K,1-3年,大专,上海,徐汇区,田林,微创软件,10000人以上,计算机软件,"['员工旅游', '补充医疗保险', '零食下午茶', '节日福利', '五险一金', '带薪年假', '定期体检', '免费班车', '年终奖']","['U3D', '游戏', '星穹铁道', 'CG动画']"
Unity培训讲师,12-13K,1-3年,本科,上海,浦东新区,张江,影育科技,0-20人,计算机软件,"['五险一金', '股票期权']","['Unity3D项目开发经验', 'Unity', '影育科技', '全职工作', '线下教学', '院校专业课', '计算机相关专业', 'AR/VR工作经验', 'Unity培训师', '头号学院', '日常教学', '培训师']"
资深游戏开发程序员[Unity],25-35K,5-10年,本科,上海,徐汇区,漕河泾,育碧上海工作室,500-999人,游戏,"['节假日加班费', '定期体检', '节日福利', '补充医疗保险', '团建聚餐', '员工俱乐部', '零食下午茶', '带薪年假', '餐补', '保底工资', '五险一金', '加班补助', '年终奖', '游戏', '交通补助']","['Unity3D', 'C#', '计算机/软件工程相关专业', '3D游戏客户端开发经验', 'Unity3D开发经验', '软件开发经验', '手游开发经验']"
unity引擎地图专家,25-35K,3-5年,本科,上海,徐汇区,万体馆,琉森科技,20-99人,互联网,"['带薪年假', '零食下午茶', '补充医疗保险', '员工旅游', '定期体检', '五险一金', '节日福利']","['Unity3D', 'Unity3D开发经验', '地图']"
unity开发,12-18K·13薪,3-5年,大专,上海,徐汇区,漕河泾,桂垚,100-499人,汽车零部件,"['通讯补贴', '零食下午茶', '员工旅游', '定期体检', '五险一金', '节日福利', '带薪年假', '加班补助', '年终奖']","['Unity3D', 'C#', 'JavaScript']"
unity特效师,15-20K,3-5年,学历不限,上海,普陀区,梅川路,上海麒林信息科技,20-99人,游戏,['五险一金'],['Unity 3D']
游戏技术美术TA,20-40K·14薪,3-5年,本科,上海,,,金山西山居,1000-9999人,游戏,"['海景办公', '岗位晋升', '带薪年假', '团建聚餐', '免费班车', '补充医疗保险', '员工旅游', '生日福利', '定期体检', '绩效奖金', '意外险', '年终奖', '节日福利', '零食下午茶', '五险一金', '技能培训', '餐补']","['shader', 'unity', '引擎', 'U3D', '渲染', 'TA', '游戏开发']"
unity开发工程师,13-18K,1-3年,大专,上海,徐汇区,漕河泾,慧博云通,1000-9999人,计算机软件,"['加班补助', '节日福利', '定期体检', '五险一金', '年终奖', '股票期权', '带薪年假', '补充医疗保险']","['Unity3D', 'Lua', 'UGUI/Fgui', 'Unity3D开发经验']"
高级Unity开发工程师（车载HMI方向）,25-50K·15薪,5-10年,本科,上海,,,某大型智能硬件公司,100-499人,智能硬件,[],"['Unity3D', 'C/C++', 'C#', 'Python', 'DirectX/Direct3D', 'Unity3D开发经验', '车载HMI', 'OpenGL ES']"
unity地编,17-25K,3-5年,大专,上海,浦东新区,张江,安徽艾偲信息技术,20-99人,计算机软件,"['绩效奖金', '年终奖']","['Unity', '日韩', '二次元']"
unity特效,10-15K,1-3年,大专,上海,徐汇区,漕河泾,深圳魔术盒,20-99人,游戏,"['员工旅游', '补充医疗保险', '五险一金', '加班补助', '股票期权', '全勤奖', '带薪年假']","['写实', '欧美现代', '魔幻', '射击游戏', '格斗游戏', '动作冒险', 'Unity 3D', 'unity特效']"
unity开发工程师,10-15K,3-5年,本科,上海,徐汇区,漕河泾,智慧树,1000-9999人,互联网,"['带薪年假', '交通补助', '五险一金', '补充医疗保险', '节日福利']","['Unity3D', 'Unity3D开发经验']"
游戏资深引擎工程师,50-80K·16薪,5-10年,本科,上海,,,上海某中型游戏公司,100-499人,游戏,"['年终奖', '零食下午茶', '餐补', '五险一金', '定期体检', '节假日加班费', '全勤奖']","['Unity3D', 'Shader开发经验', '3D游戏客户端开发经验', 'Unity3D开发经验']"
unity 程序,11-12K,1-3年,本科,上海,静安区,静安寺,热一,0-20人,音乐/视频/阅读,"['加班补助', '员工旅游', '五险一金', '年终奖', '补充医疗保险']","['C#', 'C++']"
unity技术美术,18-30K,3-5年,大专,上海,,,上海五色鲲科技,0-20人,游戏,"['年终奖', '五险一金']",['unity技术美术']
Unity游戏开发,12-15K,经验不限,大专,上海,徐汇区,漕河泾,Bosgame,20-99人,文化艺术/娱乐,"['有无线网', '带薪年假', '年终奖', '零食下午茶', '团建聚餐', '底薪加提成', '员工旅游', '节日福利', '五险一金', '生日福利', '绩效奖金', '定期体检', '保底工资']","['Unity3D', 'C/C++', 'C#']"
Unity客户端主程（海外休闲游戏）,15-30K,5-10年,本科,上海,浦东新区,张江,永娱,20-99人,游戏,[],"['C/C++', 'Unity3D', 'Lua', '手游开发经验', 'Unity3D开发经验', '计算机/软件工程相关专业']"
游戏客户端开发-unity/u3d,25-40K·13薪,3-5年,本科,上海,虹口区,江湾,SNH48,500-999人,互联网,"['五险一金', '年终奖', '节日福利', '带薪年假', '餐补', '员工旅游']",['游戏客户端 unity u3d']
Unity技术美术（TA）,15-25K,1-3年,本科,上海,闵行区,虹桥,上海得翔智能科技,0-20人,游戏,[],"['2年以上工作经验', '薪资面议']"
游戏Unity地编,12-24K,经验不限,学历不限,上海,徐汇区,漕河泾,郑州名匠网络科技,1000-9999人,游戏,"['带薪年假', '团建聚餐', '绩效奖金', '定期体检', '节日福利', '生日福利', '五险一金']","['Unity', '都市', '二次元', '第三人称']"
U3D，游戏app-北欧公司，z早9晚6，氛围好,25-35K,5-10年,本科,上海,,,某大型培训/辅导机构公司,10000人以上,培训/辅导机构,"['底薪加提成', '绩效奖金', '定期体检', '带薪年假', '五险一金', '团建聚餐', '零食下午茶', '补充医疗保险', '保底工资', '有无线网']","['Unity3D', 'C#', 'Lua', 'Unity3D开发经验', 'unity', '游戏引擎', 'Unity3D developer']"
资深游戏开发程序员【Unity】,15-30K,5-10年,本科,上海,徐汇区,漕河泾,北京仕邦达人力资...,100-499人,人力资源服务,"['带薪年假', '交通补助', '餐补', '通讯补贴', '五险一金', '节日福利']","['Unity3D', 'C#', 'Python', '计算机/软件工程相关专业', '3D游戏客户端开发经验', 'Unity3D开发经验', '机器学习', '商业项目开发']"
资深游戏客户端程序,35-55K·15薪,5-10年,本科,上海,闵行区,七宝,上海奥萌尼,100-499人,游戏,"['年终奖', '定期体检', '带薪年假', '意外险', '五险一金', '保底工资', '法定节假日三薪', '补充医疗保险']","['C#', 'Unity3D', '端游开发经验', '手游开发经验', 'Unity3D开发经验']"
Unity客户端开发（工具向）,18-25K,3-5年,本科,上海,闵行区,莘庄,英澈,100-499人,游戏,"['年终奖', '节日福利', '带薪年假', '团建聚餐', '餐补', '加班补助', '定期体检', '零食下午茶', '员工旅游', '五险一金']","['编辑器', '工具向']"
Unity技术美术,18-22K,3-5年,学历不限,上海,静安区,静安寺,缇安,20-99人,互联网,[],"['unity', 'shader', 'U3D', '技术美术', '元宇宙', '渲染向', 'TA']"
u3d客户端工程师,30-40K·14薪,5-10年,大专,上海,,,上海某中型游戏公司,100-499人,游戏,"['餐补', '五险一金', '年终奖']","['Unity3D', '3D游戏客户端开发经验']"
Unity开发主程（U3D）,20-40K·13薪,5-10年,本科,上海,,,某中型全球游戏研发和发行公司（上海）,500-999人,游戏,"['交通补助', '股票期权', '定期体检', '免费班车', '节日福利', '零食下午茶', '带薪年假', '年终奖', '包三餐', '员工旅游', '五险一金']","['Unity3D', 'C#', 'OpenGL', 'DirectX/Direct3D', 'Shader开发经验', '计算机/软件工程相关专业', 'Unity3D开发经验', '软件开发经验', '手游开发经验', '游戏']"
Unity3D主程,25-40K,5-10年,大专,上海,静安区,汶水路,上海乐蜀网络,100-499人,游戏,"['加班补助', '节日福利', '婚育礼金', '五险一金', '带薪年假', '年度调薪', '交通补助', '免费班车', '年终奖', '餐补', '生日会']","['Unity3D', 'C#']"
游戏特效,11-20K·14薪,经验不限,学历不限,上海,杨浦区,五角场,勇仕,100-499人,游戏,"['五险一金', '补充医疗保险', '年终奖', '定期体检', '带薪年假', '员工旅游', '零食下午茶', '节日福利']","['unity', 'MAYA', '3DMAX', '游戏特效']"
unity游戏开发工程师,20-35K·14薪,3-5年,本科,上海,,,猫粮工作室,20-99人,游戏,"['员工旅游', '带薪年假', '定期体检', '年终奖', '零食下午茶', '五险一金']","['Unity3D', 'Unity3D开发经验']"
unity技术美术,20-21K,1-3年,本科,上海,徐汇区,上海南站,上海江煦信息,20-99人,计算机软件,"['五险一金', '定期体检']",['unity 技术美术']
