position_name,company_name,salary,work_city,work_exp,education,company_size,company_type,industry,position_url,job_summary,welfare,salary_count
后端开发工程师,成都蜀诚通信技术有限公司,1.3万-2.5万,北京,5-10年,本科,100-299人,民营,通信/网络设备,http://www.zhaopin.com/jobdetail/CC402240720J40601300916.htm,"【岗位职责】1.负责后端开发技术研究,丰富及完善研发技术体系:2.参与人工智能平台的系统分析，设计工作，承担核心功能，公共核心架构模块的代码编写;3.能够理解产品，参与产品评审，能够对产品设计提出自己的见解并进行沟通:4.设计良好的技术架构，推进并优化代码的健壮性、可维护性，并编写清晰的技术文档:【任职要求】1、go（优先）、python（必选）等语言开发经验丰富。2、熟悉linux系统以及容器技...",,
软件工程师、五险一金,北京京杰锐思技术开发有限公司.,1万-1.6万,北京,经验不限,本科,100-299人,股份制企业,电气机械/电力设备,http://www.zhaopin.com/jobdetail/CC148165120J40727502305.htm,"工作内容：现场控制程序开发(二级)、后端开发(含数据库设计)、前端开发要求技能：熟悉 windows\inwx,操作系统，熟练使用 Python 编程语言；熟悉数据库(MySQL、MongoDB);接触过 PLC；能够做前端开发(HTML原生、VUE等)；会一些A 算法(聚类分类、回归算法)；经历：最好是参加过学校的竞赛项目(科技类的，机器人竞赛、智能车竞赛)；社团(信息化 计算机类)其他技能：专...",五险一金,
python爬虫工程师,山东蓝天云数据科技有限公司,6千-1.2万,北京,1-3年,本科,500-999人,其它,互联网,http://www.zhaopin.com/jobdetail/CC398769480J40610124101.htm,"岗位职责:1、学习运用各种最新国外软件/插件来提高工作效率。2、爬取相关网站公开数据，负责破解各类反爬机制。3、不断提升数据抓取系统的自动化水平，负责数据分析任务4、熟练使用各种网络工具，接受新事物能力强，学习能力强，求知欲强，任职要求:1、两年以上Python开发经验,计算机软件相关专业本科生，英语读写能力良好2、熟练使用python编程、爬虫相关库进行网络爬虫开发3、熟悉多线程、多进程、协程，...",,
python开发工程师,北京阿提拉科技有限公司,1.6万-2.4万,北京,3-5年,大专,300-499人,民营,计算机软件,http://www.zhaopin.com/jobdetail/CC147646000J40693163014.htm,岗位内容：1. 参与Python Web应用程序的开发和维护。2. 配合团队完成项目计划和进度，协调解决团队合作中的问题。3. 编写和维护高质量的代码，确保代码易于理解、可维护和可扩展。4. 参与应用程序架构设计、性能优化和版本管理。5. 利用Python技术进行数据分析和处理。任职要求： 1. 熟练掌握Python语言，有一定的Web开发经验。2. 熟悉MySQL、Oracle、MongoDB等...,,
后端开发工程师,上海微创软件股份有限公司,1.4万-1.7万,北京,3-5年,本科,10000人以上,合资,IT服务,http://www.zhaopin.com/jobdetail/CC000638920J40706613214.htm,职位描述： 1、负责国际支付用户信息系统的架构设计、建设和优化，保证工程质量和扩展性。2、负责解决用户信息数据准确、冲突问题，确保用户信息数据正确性。3、参与设计和建设用户信息管理平台，统一国际支付对于用户信息的管理和使用。职位要求： 1、本科（学信网）以上学历，计算机/通信 相关专业2、3年以上互联网工作经验。3、熟悉Golang/Python 至少一种语言，有良好的数据结构和算法基础。4、有优...,,
少儿编程讲师+双休+就近分配,北京童程时代科技有限公司,1万-1.5万,北京,经验不限,本科,1000-9999人,民营,在线教育,http://www.zhaopin.com/jobdetail/CCL1300326550J40434171806.htm,童程童美---主要做3-18岁少儿编程品牌，属于业部头部品牌 这里课程丰富，比赛资源多，工作氛围好，双休，弹性上班，带薪培训，北京22家校区就近分配，接受无经验应届生，往届生，感兴趣的来投递简历吧~ 【工作时间】 早10晚7或者下午1点到晚上9点，周一周二休息 【工作内容】 1、教授乐高机器人编程课程如：大小颗粒课程等，wedo、EV3 正式课，python，c++课程或者体验课，相关比赛，集训营...,"就近分配,弹性工作,无责底薪,提成,五险一金,带薪假期,定期团建,节日慰问",
python软件工程师、五险一金,北京京杰锐思技术开发有限公司.,1万-1.6万,北京,经验不限,本科,100-299人,股份制企业,电气机械/电力设备,http://www.zhaopin.com/jobdetail/CC148165120J40727504305.htm,"工作内容：现场控制程序开发(二级)、后端开发(含数据库设计)、前端开发 要求技能：熟悉 windows\linux,操作系统，熟练使用 Python 编程语言；熟悉数据库(MySQL、MongoDB);接触过 PLC；能够做前端开发(HTML原生、VUE等)；会一些Ai算法(聚类、分类、回归算法)； 经历：最好是参加过学校的竞赛项目(科技类的，机器人竞赛、智能车竞赛)；社团(信息化 计算机类) 其...",五险一金,
后端开发（Python/java/golang/c/c++）,广州欢创信息咨询有限公司,1.1万-1.8万,北京,1-3年,本科,100-299人,民营,人力资源服务,http://www.zhaopin.com/jobdetail/CC531289680J40675807709.htm,职位描述：1、 根据业务需求设计和制定标准化的标注规则，提高大模型性能。 2、分析复杂的逻辑和代码问题，能以清晰、准确的方式进行表达。 3、与算法、工程和产品团队密切合作，制定规则标准并优化标注工具。 4、应用 Prompt Engineering 等先进技术，提升数据标注的质量和效率。职位要求： 1、本科及以上学历，计算机科学、软件工程、大数据或相关领域优先。2、 具有大模型相关经验者优先。 熟...,,
爬虫工程师(J10016),北京智慧星光信息技术股份有限公司,1.5万-3万,北京,1-3年,本科,1000-9999人,民营,云计算/大数据,http://www.zhaopin.com/jobdetail/CC467352910J40542548508.htm,工作职责:1.负责持续跟踪分析爬虫系统的技术缺陷，对策略架构做出合理地调整和改进，提升公司相关产品与服务的竞争力2.完成对指定网站的信息采集配置及维护工作；3、负责网页信息抽取等研发和优化工作。任职资格:1. 计算机科学与技术、软件工程等相关专业；2. 熟悉linux平台，有一年以上Python编程经验，熟悉xpath、正则表达式等知识；3. 常见网站的反爬技术如js加密混淆等；4. 熟悉Web等...,,
测试开发工程师,京东集团,2.5万-4.5万,北京,3-5年,本科,10000人以上,合资,互联网,http://www.zhaopin.com/jobdetail/CC192921310J40647523309.htm,职位描述：1.负责七鲜、拼拼需求全链路质量保障，包含需求分析、测试方案设计、测试执行及线上问题管控；2.运用自动化、流水线等技术手段提升测试效率并通过流程机制、协同推动等举措提升研发效能；3.负责核心系统性能测试脚本优化、开发、执行。任职资格：1.具有3-5年以上互联网测试工作经验，有客户端测试经验优先；2.熟悉客户端的测试流程，具备设计和开发测试工具和自动化测试框架能力 ；3.有广泛的技术视野，...,,16薪
物业信息化经理,北京京东方空间数智科技服务有限公司,1.4万-2万,北京,3-5年,本科,100-299人,国企,物业管理,http://www.zhaopin.com/jobdetail/CC629470020J40706805614.htm,岗位职责：产品规划：熟悉智慧园区、物业信息化的技术体系架构，具备前瞻性的产品规划和布局能力；产品设计：依据园区智能化、物业及弱电智能化项目业务流程和需求，结合新技术发展趋势，构建智慧运行保障产品体系架构；项目推进：主导运行智慧运行保障产品项目开发，协同研发、测试、运维团队，保证项目按时高质量交付；市场调研：了解智慧园区、物业信息化、弱电智能化领域的发展和市场竞争态势变化。了解大数据等新技术发展，了...,,
Python开发工程师,京北方,1.2万-2.2万,北京,3-5年,本科,10000人以上,民营,IT服务,http://www.zhaopin.com/jobdetail/CC315847110J40582409607.htm,1.计算机、人工智能、统计学、大数据、自动化等理工科专业，本科（一本）及以上学历，相关专业研究生学历优先；2.2年以上相关工作经验，掌握NLP算法等相关的基础知识，有过Bert/GPT等算法的实践或研究经验，面向具体的金融场景解决组合优化问题项目经验者优先；3.熟悉Linux系统、数据结构、计算机网络，熟练使用Python、C++、shell编程语言等其中一种，熟练使用 TensorFlow/Py...,,
爬虫工程师,国研科技集团有限公司,1.4万-2万,北京,1-3年,本科,500-999人,国企,IT服务,http://www.zhaopin.com/jobdetail/CC000275200J40245110903.htm,国研大数据研究院由国研科技集团全资设立，是在国务院发展研究中心大数据应用研究与指导委员会和宏观决策大数据实验室直接指导下，开展创新型研究和数据增值服务，是中心利用大数据实现研究方式创新的重要平台。 研究院以“让决策更早更好”为使命，致力于运用大数据、人工智能等方法开展经济社会行为认知与计算研究，对经济社会运行提供实时预报、监测预警、智能预测和分析研判，为各级政府、企事业单位的决策提供支持服务，不断...,"六险一金,体检福利,带薪假期,有餐补,通讯补助,补充医疗保险,周末双休",
python开发工程师,北京科锐国际人力资源股份有限公司苏州分公司,1.2万-1.8万,北京,5-10年,本科,1000-9999人,上市公司,咨询服务,http://www.zhaopin.com/jobdetail/CC289346030J40675270202.htm,1.熟悉Python语言、Go语言，Shell脚本，Powershell脚本，并具有良好的编码能力和解决问题能力。2.熟悉Ansible、Saltstack等自动化工具。3.熟悉容器化虚拟化相关技术，例如：Docker。4.熟悉Linux系统运维。5.熟悉Windows系统运维。6.熟悉网络自动化运维，熟悉主流交换机、防火墙、DNS等网络设备运维，最好具有netmiko等网络自动化开发的经验。6....,,
高级爬虫工程师,北京新联财通咨询有限公司,1.5万-2.5万,北京,3-5年,本科,100-299人,民营,咨询服务,http://www.zhaopin.com/jobdetail/CC133755310J40682274311.htm,岗位职责1、负责公司的爬虫核心技术研究以及爬虫策略优化；2、负责移动端数据获取开发与实现；3、了解目前防爬策略以及应对方案；4、有逆向开发或者研究经验。任职要求1、熟悉各类加密算法，精通 Frida、Xposed 框架的使用；2、熟悉Android程序apk以及so的逆向分析流程、HOOK技术、加密解密知识、各种软件逆向工程开发工具的使用；3、熟悉常用的逆向工程工具和框架，如jadx、 IDA P...,,
python仿真开发工程师,博彦科技承德有限公司,9千-1万,北京,1-3年,大专,1000-9999人,股份制企业,IT服务,http://www.zhaopin.com/jobdetail/CC637366030J40606147906.htm,岗位职责：负责自动驾驶仿真相关数据统计脚本开发，仿真能力提升，和仿真场景集建设工作 任职要求：具有自动驾驶仿真开发经验，或对自动驾驶及其仿真系统较熟悉，具有python或C/C++语言基础，有相关的开发经历；有较强的自驱能力，和学习能力；善于沟通。,,
测试开发工程师,京东集团,2.5万-4.5万,北京,3-5年,本科,10000人以上,合资,互联网,http://www.zhaopin.com/jobdetail/CC192921310J40647523309.htm,职位描述：1.负责七鲜、拼拼需求全链路质量保障，包含需求分析、测试方案设计、测试执行及线上问题管控；2.运用自动化、流水线等技术手段提升测试效率并通过流程机制、协同推动等举措提升研发效能；3.负责核心系统性能测试脚本优化、开发、执行。任职资格：1.具有3-5年以上互联网测试工作经验，有客户端测试经验优先；2.熟悉客户端的测试流程，具备设计和开发测试工具和自动化测试框架能力 ；3.有广泛的技术视野，...,,16薪
金融爬虫工程师（python/PHP/JS）,深圳市润迅数智科技有限公司,1万-1.2万,北京,3-5年,本科,100-299人,民营,IT服务,http://www.zhaopin.com/jobdetail/CCL1346707290J40687395003.htm,岗位职责：1、负责指定网页或APP的定向爬取以及内容的抽取和去重等分析工作；2、负责爬虫系统的模版配置，管理分布式爬虫服务器，任务调度、巡检工作；3、负责相关数据抓取服务的工程建设和指标建设，对数据生产链条的健壮性、高效性负责。岗位要求：1、本科或以上学历，有3年以上数据抓取开发经验；2、熟悉Python/PHP/JavaScript等脚本语言中至少一种；3、熟悉html/css/xpath等常用...,,
研发工程师-生活服务（诊断方向）,字节跳动,2.5万-5万,北京,3-5年,本科,10000人以上,民营,互联网,http://www.zhaopin.com/jobdetail/CC469217510J40652755901.htm,岗位职责：1、基于对推荐系统的深度理解，根据业务提炼常见问题场景、诊断方法并沉淀为工具，提高问题排查的效率；2、基于对数据和系统链路的梳理，通过数据分析和用户研究，具备流量问题的诊断能力；3、参与数据服务化的设计、开发、性能优化，为上层分析和挖掘提供可靠、统一的离线+实时数据服务；4、参与诊断工具/平台的开发、架构设计，推动工具/平台的持续迭代和优化；5、参与诊断工具/平台产品化设计、推广，横向赋...,"五险一金,股票期权,带薪假期,有餐补,弹性工作",
python爬虫工程师,拓尔思信息技术股份有限公司,1万-1.5万,北京,经验不限,本科,1000-9999人,上市公司,计算机软件,http://www.zhaopin.com/jobdetail/CC000614790J40570996006.htm,岗位职责：1. 根据业务需求，研究爬虫策略和防屏蔽规则，设计和开发分布式爬虫，支持高并发多平台抓取；2. 负责网页信息抽取、简单清洗、数据入库等开发；3. 提升爬虫稳定性及可扩展性，充分利用资源，优化爬虫效率和质量。 岗位要求：1. 计算机软件及相关专业本科毕业；2. 1年以上爬虫项目开发经验，优秀毕业生亦可；3. 熟悉爬虫原理及常见的反爬虫技术，如cookie、js加密、base64等；3. 熟...,,
少儿编程讲师+双休+就近分配,北京童程时代科技有限公司,1万-1.5万,北京,经验不限,本科,1000-9999人,民营,在线教育,http://www.zhaopin.com/jobdetail/CCL1300326550J40434171806.htm,童程童美---主要做3-18岁少儿编程品牌，属于业部头部品牌 这里课程丰富，比赛资源多，工作氛围好，双休，弹性上班，带薪培训，北京22家校区就近分配，接受无经验应届生，往届生，感兴趣的来投递简历吧~ 【工作时间】 早10晚7或者下午1点到晚上9点，周一周二休息 【工作内容】 1、教授乐高机器人编程课程如：大小颗粒课程等，wedo、EV3 正式课，python，c++课程或者体验课，相关比赛，集训营...,"就近分配,弹性工作,无责底薪,提成,五险一金,带薪假期,定期团建,节日慰问",
python爬虫开发工程师,博彦科技承德有限公司,1.5万-1.6万,北京,1-3年,大专,1000-9999人,股份制企业,IT服务,http://www.zhaopin.com/jobdetail/CC637366030J40622458806.htm,工作内容：1.设计和实现高效的网络爬虫，用于抓取结构化和非结构化数据。2.处理和解析各种数据格式，包括HTML、XML和JSON。3.优化爬虫性能，确保数据抓取的效率和准确性。4.实现数据去重和清洗逻辑，提高数据质量。5.监控爬虫运行状态，及时处理异常和失败情况。6.与团队合作，不断改进爬虫策略和工具。岗位要求：1.计算机科学或相关专业。2.必须有爬虫开发经验，熟悉splash/Scrapy/Se...,,
后端开发工程师,上海微创软件股份有限公司,1.4万-1.7万,北京,3-5年,本科,10000人以上,合资,IT服务,http://www.zhaopin.com/jobdetail/CC000638920J40706613214.htm,职位描述： 1、负责国际支付用户信息系统的架构设计、建设和优化，保证工程质量和扩展性。2、负责解决用户信息数据准确、冲突问题，确保用户信息数据正确性。3、参与设计和建设用户信息管理平台，统一国际支付对于用户信息的管理和使用。职位要求： 1、本科（学信网）以上学历，计算机/通信 相关专业2、3年以上互联网工作经验。3、熟悉Golang/Python 至少一种语言，有良好的数据结构和算法基础。4、有优...,,
python软件工程师、五险一金,北京京杰锐思技术开发有限公司.,1万-1.6万,北京,经验不限,本科,100-299人,股份制企业,电气机械/电力设备,http://www.zhaopin.com/jobdetail/CC148165120J40727504305.htm,"工作内容：现场控制程序开发(二级)、后端开发(含数据库设计)、前端开发 要求技能：熟悉 windows\linux,操作系统，熟练使用 Python 编程语言；熟悉数据库(MySQL、MongoDB);接触过 PLC；能够做前端开发(HTML原生、VUE等)；会一些Ai算法(聚类、分类、回归算法)； 经历：最好是参加过学校的竞赛项目(科技类的，机器人竞赛、智能车竞赛)；社团(信息化 计算机类) 其...",五险一金,
爬虫数据采集工程师,拓尔思信息技术股份有限公司,9千-1.6万,北京,1-3年,本科,1000-9999人,上市公司,计算机软件,http://www.zhaopin.com/jobdetail/CC000614790J40393328606.htm,岗位职责： 1. 根据业务需求，研究爬虫策略和防屏蔽规则，设计和开发分布式爬虫，支持高并发多平台抓取； 2. 负责网页信息抽取、简单清洗、数据入库等开发； 3. 提升爬虫稳定性及可扩展性，充分利用资源，优化爬虫效率和质量。 任职资格： 1. 计算机软件及相关专业本科毕业； 2. 1年以上爬虫项目开发经验，优秀毕业生亦可； 3. 熟悉爬虫原理及常见的反爬虫技术，如cookie、js加密、base64...,"五险一金,绩效奖金,有餐补,通讯补助,带薪假期,补充医疗保险,体检福利,弹性工作",
python爬虫工程师,深圳市法本信息技术股份有限公司,1.8万-2.5万,北京,3-5年,本科,1000-9999人,上市公司,计算机软件,http://www.zhaopin.com/jobdetail/CC385622410J40497573706.htm,岗位职责：1、负责OTA5.0版本RAG理想同学智能搜索项目，文生图（AIGC项目）相关网站、app数据集的抓取、清洗、存储工作，满足智能空间业务需求，并形成数据资产。2、包括（不限于）知乎，新浪，头条，网易，腾讯新闻，凤凰网、一点资讯等。任职资格：1. 熟练使用Python编程语言，熟练使用Scrapy爬虫框架。2. 熟练使用SQL数据库，掌握事务、索引等数据库基本原理。3. 掌握计算机网络基本...,,
实车测试工程师,外企德科数字技术有限公司,1.2万-1.3万,北京,3-5年,大专,10000人以上,合资,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1480117890J40724251305.htm,岗位职责参与地图终端的测试工作。具体如下：参与地图终端研发的整个过程：参与技术评审，制定测试计划，设计测试用例，参与代码Review，组织和执行模块测试、集成测试和回归测试，跟踪应用缺陷直至符合发布标准，分析、推动解决线上问题，并对应用开发过程做分析和总结为保证应用质量，引入和完善新的测试方法，如稳定性测试、性能测试、安全测试、异常测试、兼容性测试等了解并参与改进应用架构中涉及到的技术方案，提高应...,,
python后端开发工程师,北京永生鼎立信息技术有限公司,1万-1.8万,北京,5-10年,大专,100-299人,合资,计算机软件,http://www.zhaopin.com/jobdetail/CC597878020J40557086806.htm,Python初级开发工程师1、二本本科及以上学历，计算机相关专业2、1-2年开发工作经验3、熟悉FastAPI、LangChain等有大模型应用经验4、有金融项目经验，做过证券的最好5、逻辑清晰，沟通能力好Python高级开发工程师1、专科及以上学历，计算机相关专业2、5年以上开发工作经验3、熟悉FastAPI、LangChain等有大模型应用经验4、有金融项目经验，做过证券的最好5、逻辑清晰，沟...,,
爬虫工程师,北京迈迪培尔信息技术有限公司,6千-1.2万,北京,经验不限,本科,20-99人,民营,互联网,http://www.zhaopin.com/jobdetail/CC522223780J40653913015.htm,"岗位职责：1. 熟悉搜索引擎和网络爬虫相关技术,有爬虫系统开发经验；2. 熟练掌握网页抓取原理及技术，熟悉网页解析过程，具备数据的过滤、清洗、去重、结构化导入经验；3. 熟悉分布式爬虫应用和调度策略，掌握各类网站的反爬机制和验证码机制；4. 熟悉TCP/IP协议及HTTP协议,了解基本的前端技术，HTML、CSS、JS、Ajax等；5. 熟练使用mysql，mongodb等数据库，熟悉mysql的...",,
Python开发工程师,重庆赫云景网络科技有限公司,1.5万-2万,北京,3-5年,本科,20人以下,,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1487066100J40700978810.htm,岗位职责：1、负责机器人后端服务的开发，包括云端服务API、机器人API以及后端框架搭建2、与产品经理、算法研究员协作，高效完成产品需求及相关的demo研发工作3、负责相关模块的设计、编码、单元测试以及相关文档编写工作4、通过技术手段对负责模块进行技术优化和升级，提升系统性能和质量职位要求：1、计算机相关专业本科及以上学历，3年以上开发经验2、熟悉python常用基础库，熟悉torch、numpy...,,
爬虫数据抓取工程师,深圳市润迅数智科技有限公司,9千-1.3万,北京,3-5年,本科,100-299人,民营,IT服务,http://www.zhaopin.com/jobdetail/CCL1346707290J40704225603.htm,岗位职责：1、负责指定网页或APP的定向爬取以及内容的抽取和去重等分析工作；2、负责爬虫系统的模版配置，管理分布式爬虫服务器，任务调度、巡检工作；3、负责相关数据抓取服务的工程建设和指标建设，对数据生产链条的健壮性、高效性负责。岗位要求：1、本科或以上学历，有3年以上数据抓取开发经验；2、熟悉Python/PHP/JavaScript等脚本语言中至少一种；3、熟悉html/css/xpath等常用...,,
python后端开发工程师,北京鼎腾科技有限公司,1万-1.5万,北京,3-5年,大专,500-999人,民营,IT服务,http://www.zhaopin.com/jobdetail/CC821752090J40703839308.htm,任职要求：1、具备全面的软件知识结构，基础扎实，精通常用数据结构与算法;2、熟练掌握Python编程语言，有性能调优经验；3、熟悉至少一种主流深度学习编程框架，如Tensorflow、PyTorch、MXNet、Sklearn等；4、熟练掌握常用机器学习算法。加分项:1、熟悉大数据技术者优先；2、熟悉Parameter Server、MPI等者优先。,,
高级研发工程师(J20929),中核核信信息技术(北京)有限公司,2.2万-3.5万,北京,5-10年,本科,100-299人,国企,计算机软件,http://www.zhaopin.com/jobdetail/CC678805020J40694031105.htm,岗位职责:1.承担软件产品研发中开发工作：分析设计文档，协助产品经理完成项目模块划分；负责提供产品开发中的技术支持；指导团队人员完成相关任务，负责代码开发领导工作；完成开发阶段，相关代码优化工作；评估开发过程中技术路线的可行性，联系技术架构师优化调整开发路线；承担软件开发项目中的难点、重点问题解决。2.承担产品开发中代码审查工作：负责代码审查工作；指导产品研发团队中研发工程师、初级研发工程师开发工...,,
【 研发【Java/Python/C/C++/Go/Js/Scala】,外企德科数字技术有限公司,1.5万-3万,北京,1-3年,本科,10000人以上,合资,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1480117890J40600106705.htm,岗位： C/C++/Java/JS/Python/Go通用软件开发，软件测试，大数据开发，网络安全，运维开发，算法等岗位要求：本科及以上学历，计算机、软件工程、通信等相关专业优先，转行，转专业可接受一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，...,"五险一金,带薪假期",
代码标注工程师go/c++,大连斯锐信息技术有限公司,1.1万-1.8万,北京,1-3年,本科,1000-9999人,民营,计算机软件,http://www.zhaopin.com/jobdetail/CC424188180J40706797012.htm,还有python、java 、JS方向岗位职责：1、根据业务需求设计和制定标准化的标注规则，提高大模型性能。 2、分析复杂的逻辑和代码问题，能以清晰、准确的方式进行表达。 3、与算法、工程和产品团队密切合作，制定规则标准并优化标注工具。 4、应用 Prompt Engineering 等先进技术，提升数据标注的质量和效率。任职要求：1、本科及以上学历，计算机科学、软件工程、大数据或相关领域优先。 ...,"周末双休,法定节假日,包吃,六险一金,节日慰问",
